question,option1,option2,option3,option4,correct_answer
"He can speak many languages, ______?",Can he,Can’t he,Does he,Doesn’t he,Can’t he
"John likes ice cream, _____?",Doesn’t he,Does he,Don’t he,Did he,Doesn’t he
"In English language, which of the following does NOT participate in agreement?",Person,Gender,Number,None of the above,Gender
Identify the main statement.,when the incident happened,I am not sure when,I am not sure,the incident happened,I am not sure
Identify the embedded sentence.,when the incident happened,I am not sure when,I am not sure,the incident happened,when the incident happened
"_______ you score well in the exam, I'll buy you gifts.",Whether,If,Both whether and if,,If
Identify the sentence with embedded finite clause:,We know that Sarah asks a lot of questions.,He likes to sit quietly.,Sarah hoped to convince John.,I am glad to meet you again.,We know that Sarah asks a lot of questions.
Intransitive verbs cannot be recast in passive form.,True,False,,,True
She bought an _______ sound system.,food,expensive,cheap,expenditure,expensive
My cat is sleeping on the _____ roof.,think,thinly,thin,understanding,thin
